,TTDDRUGID,LNM,Indication,ICD9,ICD10
11365,DIB010993,inno-105,Solid tumours,"140-199, 210-229","C00-C75, C7A, C7B, D10-D36, D3A"
11366,DIB010994,inoc-002,Cancer,140-229,C00-C96
11367,DIB010995,jnj-26489112,Epilepsy,"290-319, 345","F01-F99, G40"
11368,DIB010996,xgp-115,Arthritis,710-719,M00-M25
11369,DIB010998,votucalis ophthalmic,Allergic rhinitis,"472.0, 477, 995.3","J00, J30, J31.0, T78.4"
11370,DIB010999,sc-56525,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
11371,DIB011000,montirelin tetrahydrate,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
11372,DIB011001,srss-016,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
11373,DIB011002,testosterone glucoside,Hypogonadism,257.2,"E23.0, E28.3, E29.1"
11374,DIB011005,ag-4070,Arteriosclerosis,440,I70
11375,DIB011006,spiru-211,Constipation,564,K59.0
11376,DIB011008,apaxifylline,Cognitive impairment,331.83,G31.84
11377,DIB011010,rbt-401,Cancer,140-229,C00-C96
11378,DIB011011,e coli epvaccine,Escherichia coli infection,.,A00-B99
11379,DIB011013,cb-10-01 cancer vaccine,Malignant melanoma,"172, 208.9","C43, C91-C95"
11380,DIB011014,ingn-225,Head and neck cancer,"140-149, 140-229","C00-C96, C07-C14, C32-C33"
11381,DIB011015,irisquinone,Cancer,140-229,C00-C96
11382,DIB011017,disitertide,Macular degeneration,362.5,H35.3
11383,DIB011020,trofosfamide,Non-Hodgkin's lymphoma,"200, 202, 202.8","C81-C96, C82-C85"
11384,DIB011021,amg 282,Asthma,493,J45
11385,DIB011022,ono-5334,Osteopenia,733.9,M85.8
11386,DIB011024,pgc-lysostaphin,Staphylococcus aureus infection,001-139,A00-B99
11387,DIB011025,antiinflammatory/antimicrobial,Skin infections,680-709,L00-L99
11388,DIB011026,g-207 virus construct,Glioma,"140-199, 183, 191, 210-229","C00-C75, C56, C71, C7A, C7B, D10-D36, D3A"
11389,DIB011028,ak-295,Cerebral infarction,.,I63
11390,DIB011029,2-deoxy-d-glucose,Cancer,140-229,C00-C96
11391,DIB011030,ave-3247,Thrombosis,"437.6, 453, 671.5, 671.9",I80-I82
11392,DIB011031,rbp-7000,Non-small cell lung cancer,"140-229, 162, 204.0","C00-C96, C33-C34, C91.0"
11393,DIB011035,birch pollen allergy desensitization tablet,Allergy,995.3,T78.4
11394,DIB011036,sl-25.1188,Alzheimer's disease,"331.0, 331.83","G30, G31.84"
11395,DIB011039,zp-012,Urinary tract infections,599,N39.0
11396,DIB011041,lb-100,Cancer,140-229,C00-C96
11397,DIB011043,anti-gd2 mab,Cancer,140-229,C00-C96
11398,DIB011044,cms-024-02,Cancer,140-229,C00-C96
11399,DIB011045,velac gel,Acne vulgaris,706.1,L70.0
11400,DIB011046,fpi-01,Acute myeloid leukemia,"205.0, 238.7","C92.0, D46"
11401,DIB011047,adch63-msp1,Plasmodium malariae infection,.,B50
11402,DIB011048,h.p. acthar gel,Diabetic nephropathy,"250, 250.4, 580-599","E08-E13, E10.2, E11.2, E13.2, N00-N29"
11403,DIB011051,azd-6319,Alzheimer's disease,"331.0, 331.83","G30, G31.84"
11404,DIB011052,rg7841,Solid tumours,"140-199, 210-229","C00-C75, C7A, C7B, D10-D36, D3A"
11405,DIB011054,mdl-201112,Colitis,556.9,K50-K52
11406,DIB011056,antiviral spray,Respiratory tract infections,460-519,J00-J99
11407,DIB011058,cholestyramine,Diarrhea,787.91,"A09, K59.1"
11408,DIB011060,xel-003fp,Onychomycosis,.,B35.1
11409,DIB011062,ea-230,Bacillus anthracis infection,.,A22
11410,DIB011063,alb-109564(a),Solid tumours,"140-199, 210-229","C00-C75, C7A, C7B, D10-D36, D3A"
11411,DIB011064,cdp-855,Autoimmune diseases,279,"D84.9, M35.9"
11412,DIB011065,apg-103,Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
11413,DIB011066,bermoprofen,Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
11414,DIB011067,tetraoxane derivatives,Plasmodium falciparum infection,.,B54
11415,DIB011068,t-109,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
11416,DIB011069,th-9229,Reperfusion injury,.,I00-I99
11417,DIB011071,cryptophycin 52,Cancer,140-229,C00-C96
11418,DIB011072,blv-0703,Central nervous system disease,.,G00-G99
11419,DIB011074,allogeneic cytotoxic t-cell therapy,Epstein Barr virus infection,.,B27
11420,DIB011075,enterotoxigenic e coli vaccine,Escherichia coli infection,.,A00-B99
11421,DIB011076,mdr-03030,Influenza virus infections,"487, 488","J10, J11"
11422,DIB011077,metallothionein,Brain injury,.,S09.90
11423,DIB011078,ocid-2987,Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
11424,DIB011079,vi-crm197,Salmonella infection,.,A02.9
11425,DIB011081,ad5f35-lmpd1-2-transduced autologous dendritic cells,Nasopharyngeal carcinoma,.,C11.9
11426,DIB011082,sa-14-14-2,Japanese encephalitis virus infection,323,"A83-A86, B94.1, G05"
11427,DIB011083,e-5531,Septic shock,785.52,A41.9
11428,DIB011086,esn-xx,Alzheimer's disease,"331.0, 331.83","G30, G31.84"
11429,DIB011087,dermacyn,Diabetic foot ulcer,707,L88-L89
11430,DIB011089,km-133,Psoriasis,696,L40
11431,DIB011090,inaperisone,Pollakiuria,.,R35
11432,DIB011091,at-009,Cancer,140-229,C00-C96
11433,DIB011092,fr-129169,Arteriosclerosis,440,I70
11434,DIB011094,xr-3054,Cancer,140-229,C00-C96
11435,DIB011095,st-4206,Parkinson's disease,332,"F02.3, G20"
11436,DIB011098,infanrix hep b,Hepatitis B virus infection,070.2-070.3,"B16, B18.0, B18.1"
11437,DIB011099,hf-0299,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
11438,DIB011100,"pain therapy, sephoris",Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
11439,DIB011101,miq-001,Alzheimer's disease,"331.0, 331.83","G30, G31.84"
11440,DIB011102,"227th-trastuzumab (cancer), algeta",Cancer,140-229,C00-C96
11441,DIB011105,ima-901,Renal cell carcinoma,189,C64
11442,DIB011106,cx-5011,Cancer,140-229,C00-C96
11443,DIB011107,sam-6,Melanoma,172.9,C43
11444,DIB011108,kyn-54,Cancer,140-229,C00-C96
11445,DIB011110,nrx-1050,Bipolar disorder,"296.0, 296.1, 296.4, 296.5, 296.6, 296.7, 296.8, 300","F31, F40-F42"
11446,DIB011111,fg-65155,Reperfusion injury,.,I00-I99
11447,DIB011112,nk-2210,Neurological disease,"338, 338.2, 410, 782.3,780","I21, I22, R52, R52.1-R52.2, R60.9, G89"
11448,DIB011113,rg-7167,Solid tumours,"140-199, 210-229","C00-C75, C7A, C7B, D10-D36, D3A"
11449,DIB011114,tolperisone,Muscle spasm,.,M62.838
11450,DIB011115,brx-005,Amyotrophic lateral sclerosis,"335.20, 434.91","G12.2, I61-I63"
11451,DIB011116,mk-2918,Migraine,346,G43
11452,DIB011117,sun-9221,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
11453,DIB011118,finrozole,Prostate disorder,.,N40-N42
11454,DIB011119,k562/gm-csf,Acute myeloid leukemia,"205.0, 238.7","C92.0, D46"
11455,DIB011120,dabelotine,Cognition disorders,295,F20
11456,DIB011122,hl-025,Allergy,995.3,T78.4
11457,DIB011123,omn-54,Cancer,140-229,C00-C96
11458,DIB011124,mim-d3,Alzheimer's disease,"331.0, 331.83","G30, G31.84"
11459,DIB011125,he2100,Thrombocytopenia,"287.3, 287.4, 287.5","D69.6, P61.0"
11460,DIB011127,molecule 21,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
11461,DIB011128,oprx,Allergic conjunctivitis,"204.0, 372.0, 372.14, 995.3","C91.0, H10, H10.45, T78.4"
11462,DIB011129,azd-4451,Bipolar disorder,"296.0, 296.1, 296.4, 296.5, 296.6, 296.7, 296.8, 300","F31, F40-F42"
11463,DIB011130,vismed,Eye disorders,.,H00-H59
11464,DIB011131,hemporfin photodynamic therapy,Vasculitis,.,"I77.6,I80"
11465,DIB011132,regn1400,Cancer,140-229,C00-C96
11466,DIB011134,azd5312,Prostate cancer,"140-229, 185","C00-C96, C61"
11467,DIB011136,fl-386,Hyperlipidemia,272.0-272.4,E78
11468,DIB011137,ragweed extract,Allergic rhinitis,"472.0, 477, 995.3","J00, J30, J31.0, T78.4"
11469,DIB011138,itx-4520,Hepatitis C virus infection,"070.4, 070.5, 070.70, 573.3","B17.1, B18.2, K75.9"
11470,DIB011139,alt-020-04,Ocular infection,.,H00-H59
11471,DIB011140,iph-1201,Hepatitis C virus infection,"070.4, 070.5, 070.70, 573.3","B17.1, B18.2, K75.9"
11472,DIB011143,vir-201,HIV infections,"001-139, 042","A00-B99, B20"
11473,DIB011144,protein vaccines,Cancer,140-229,C00-C96
11474,DIB011145,lobeglitazone,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
11475,DIB011146,alp-242,Cystic fibrosis,"277.0, 709.2","E84, L90.5"
11476,DIB011147,diffistat-g,Clostridium difficile infection,"001-139, 008.45","A00-B99, A04.7"
11477,DIB011148,tdi-0050,Motor neurone disease,335.2,G12.2
11478,DIB011149,ald-901,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
11479,DIB011151,melaxin,Melanoma,172.9,C43
11480,DIB011154,lymphoscan,Lymphoma,"202.8, 208.9","C81-C96, C91-C95"
11481,DIB011155,win-902a,Obesity,278,E66
11482,DIB011156,ge-1170a,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
11483,DIB011157,2ntx-99,Atherosclerosis,"414.0, 440",I70
11484,DIB011160,cc-8490,Brain cancer,"191, 225.0","C71, D33"
11485,DIB011161,citrate salts,Renal disease,.,N00-N29
11486,DIB011162,ct-1,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
11487,DIB011163,kt-95,Inflammatory bowel disease,"555, 556","K50, K51"
11488,DIB011164,vr-909,Transplant rejection,"279.5, 996","D89.8, T86"
11489,DIB011165,bms-181321,Diagnosis,331,"G30,I73.9"
11490,DIB011169,beta amyloid lowering agents,Alzheimer's disease,"331.0, 331.83","G30, G31.84"
11491,DIB011170,pf-03800130,Bipolar disorder,"296.0, 296.1, 296.4, 296.5, 296.6, 296.7, 296.8, 300","F31, F40-F42"
11492,DIB011171,crb-15,Autoimmune diseases,279,"D84.9, M35.9"
11493,DIB011172,aop-200704,Heart arrhythmia,.,I47-I49
11494,DIB011173,mva e2 vaccine,Cancer,140-229,C00-C96
11495,DIB011174,c4x-101,Endocrine disease,.,E00-E35
11496,DIB011175,sar-100842,Fibrosis,709.2,L90.5
11497,DIB011178,lp-1810,Hypercholesterolemia,272,E78.0
11498,DIB011179,mfh-147,Septic shock,785.52,A41.9
11499,DIB011180,ro-4987655,Cancer,140-229,C00-C96
11500,DIB011181,rq-00000004,Gastroesophageal reflux disease,"140-229, 530","C00-C96, K21"
11501,DIB011182,flosulide,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
11502,DIB011183,3-deazaadenosine,Arthritic,710-719,M00-M25
11503,DIB011184,mva-bn jev,Japanese encephalitis virus infection,323,"A83-A86, B94.1, G05"
11504,DIB011185,rbx-343e48f0,Chronic obstructive pulmonary disease,"490-492, 494-496","J40-J44, J47"
11505,DIB011186,s-33516,Arthritis,710-719,M00-M25
11506,DIB011187,promacta,Thrombocytopenia,"287.3, 287.4, 287.5","D69.6, P61.0"
11507,DIB011188,isa-hpv-01,Cervical cancer,"140-229, 180","C00-C96, C53"
11508,DIB011189,cdri-s007-867,Thrombosis,"437.6, 453, 671.5, 671.9",I80-I82
11509,DIB011192,ad35.cs.01,Plasmodium falciparum infection,.,B54
11510,DIB011193,noberastine,Asthma,493,J45
11511,DIB011194,hac-1 vaccine,Influenza virus infections,"487, 488","J10, J11"
11512,DIB011195,skf-104351,Rheumatold arthritis,714,M05-M06
11513,DIB011196,a-967079,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
11514,DIB011198,selodenoson,Cardiac arrhythmias,427,I47-I49
11515,DIB011199,gsk-706769,HIV infections,"001-139, 042","A00-B99, B20"
11516,DIB011201,og-45,Dementia,"290-294, 331.0","F01-F07, G30"
11517,DIB011202,pcap-1,Central nervous system disease,.,G00-G99
11518,DIB011203,cyt-003-qbg10,Allergic rhinitis,"472.0, 477, 995.3","J00, J30, J31.0, T78.4"
11519,DIB011204,adcon-i,Wound healing,.,T14.0-T14.1
11520,DIB011206,jwh-051,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
11521,DIB011207,zp-005,Pharyngitis,.,J02
11522,DIB011209,abio-08-01,Amnesia,.,F04
11523,DIB011210,pf-3654764,Allergic rhinitis,"472.0, 477, 995.3","J00, J30, J31.0, T78.4"
11524,DIB011211,zd-9720,Arteriosclerosis,440,I70
11525,DIB011212,t-607,Cancer,140-229,C00-C96
11526,DIB011213,ono-9054,Glaucoma,365,H40-H42
11527,DIB011215,ru-46556,Endometrial cancer,"140-229, 182.0, 183","C00-C96, C54.1, C56"
11528,DIB011216,sm-16,Fibrosis,709.2,L90.5
11529,DIB011217,anti-cd3 activated vaccine-primed lymphocytes,Melanoma,172.9,C43
11530,DIB011218,cgs-19480a,Anxiety disorder,"300, 311","F32, F40-F42"
11531,DIB011219,abt-107,Attention deficit hyperactivity disorder,"314.00, 314.01",F90
11532,DIB011220,eb-101,Alzheimer's disease,"331.0, 331.83","G30, G31.84"
11533,DIB011221,pf-06678552,Hyperkalemia,.,E87.5
11534,DIB011223,streptococcus pneumoniae vaccine,Streptococcus pneumoniae infection,"480-486, 770.0","J12, J13, J14, J15, J16, J17, J18, P23"
11535,DIB011224,combidex,Cancer,140-229,C00-C96
11536,DIB011225,recombinant soluble human cd5,Sepsis,"995.0, 995.91","A40, A41, T78.2"
11537,DIB011226,sa-anp,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
11538,DIB011227,p-552-02,Cystic fibrosis,"277.0, 709.2","E84, L90.5"
11539,DIB011228,ni-0401,Autoimmune diseases,279,"D84.9, M35.9"
11540,DIB011230,nestorone transdermal spray,Endometriosis,617,N80
11541,DIB011231,eco-0501,Enterococcus faecalis infection,.,B95.2
11542,DIB011232,mn-246,Urinary incontinence,788.3,"N39.3, N39.4, R32"
11543,DIB011233,siguazodan,Allergy,995.3,T78.4
11544,DIB011234,hbv infection vaccine,Hepatitis B virus infection,070.2-070.3,"B16, B18.0, B18.1"
11545,DIB011235,nucb-1000,Hepatitis B virus infection,070.2-070.3,"B16, B18.0, B18.1"
11546,DIB011236,incb-10820,Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
11547,DIB011237,nd-601,Mycobacterium tuberculosis infection,.,A15-A19
11548,DIB011238,krp-110,Constipation,564,K59.0
11549,DIB011240,ono-4057,Inflammatory bowel disease,"555, 556","K50, K51"
11550,DIB011241,seridopidine,Neurological disease,"338, 338.2, 410, 782.3,780","I21, I22, R52, R52.1-R52.2, R60.9, G89"
11551,DIB011242,xl-647,Polycystic kidney disease,753.1,Q61
11552,DIB011243,tumor vascular thrombogen,Solid tumours,"140-199, 210-229","C00-C75, C7A, C7B, D10-D36, D3A"
11553,DIB011244,fk-041,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
11554,DIB011245,cep-37248,Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
11555,DIB011246,aj-3941,Cerebrovascular ischaemia,434.91,I61-I63
11556,DIB011249,cdr-134d123,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
11557,DIB011250,rap-160,Psoriasis,696,L40
11558,DIB011251,jnj-17216498,Narcolepsy,347,G47.4
11559,DIB011252,fk-614,Diabetes mellitus type 2,250,E11
11560,DIB011253,mb-312,Cancer,140-229,C00-C96
11561,DIB011255,ga-fsh,Female infertility,628,N97.0
11562,DIB011257,pd-4074,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
11563,DIB011259,cy-9652,Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
11564,DIB011261,gsk-2241658a,Melanoma,172.9,C43
11565,DIB011263,pol-6014,Asthma; Chronic obstructive pulmonary disease,"490-492, 493, 494-496","J40-J44, J45, J47"
11566,DIB011264,esba-903,Ocular disease,.,H00-H59
11567,DIB011265,vpm-1-002,Mycobacterium tuberculosis infection,.,A15-A19
11568,DIB011266,ml-721,Cancer,140-229,C00-C96
11569,DIB011267,jnj-28165722,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
11570,DIB011268,nox-h94,Anemia,280-285,D50-D64
11571,DIB011269,stem cell-derived astrocytes,Motor neurone disease,335.2,G12.2
11572,DIB011270,trx-585,Cancer,140-229,C00-C96
11573,DIB011271,sinomenine,Arthritic,710-719,M00-M25
11574,DIB011272,ana-246,Hepatitis C virus infection,"070.4, 070.5, 070.70, 573.3","B17.1, B18.2, K75.9"
11575,DIB011273,zadaxin/lamivudine,Hepatitis B virus infection,070.2-070.3,"B16, B18.0, B18.1"
11576,DIB011274,cre-319m2,Ischemic heart diseases,410-414,I20-I25
11577,DIB011275,ta-383,Arthritic,710-719,M00-M25
11578,DIB011278,cgp-70726,HIV-1 infections,"001-139, 042","A00-B99, B20"
11579,DIB011279,zd-6003,Cancer,140-229,C00-C96
11580,DIB011282,ald-306,Cardiovascular disease,"325, 390-459, 401, 428, 430-459","G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95"
11581,DIB011283,gf-011802-00,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
11582,DIB011284,edp-09,Ischemia,459.89,I99.8
11583,DIB011285,tpx-100,Osteoarthritis,715,"M15-M19, M47"
11584,DIB011286,cr-845 iv infusion,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
11585,DIB011287,ono-4127na,Allergic rhinitis,"472.0, 477, 995.3","J00, J30, J31.0, T78.4"
11586,DIB011289,fht-401,Rheumatold arthritis,714,M05-M06
11587,DIB011290,humarad-ov,Ovarian cancer,"140-229, 183, 185","C00-C96, C56, C61"
11588,DIB011291,bo-110,Cancer,140-229,C00-C96
11589,DIB011294,cd200fc,Autoimmune diseases,279,"D84.9, M35.9"
11590,DIB011295,cvt-10216,Alcohol use disorders,303,F10.2
11591,DIB011296,rq-00203078,Neuropathic pain,"356.0, 356.8","G64, G90.0"
11592,DIB011298,ne-1530,Bronchitis,.,"J20-J21,J42"
11593,DIB011299,san-61,Alzheimer's disease,"331.0, 331.83","G30, G31.84"
11594,DIB011300,recombinant botulinum neurotoxin vaccine,Migraine,346,G43
11595,DIB011301,eperezolid,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
11596,DIB011302,mor-105,Inflammatory diseases,"140-229, 147, 173, 573.3, 710-719","C00-C96, C11, C44, K75.9, M00-M25"
11597,DIB011303,dendritic cell vaccine,Glioblastoma,"140-199, 191, 208.9, 210-229","C00-C75, C71, C7A, C7B, C91-C95, D10-D36, D3A"
11598,DIB011307,anti-rsv mab,Respiratory syncytial virus ,"001-139, 079.6","A00-B99, B97.4"
11599,DIB011308,contraceptive combination,Female contraception,.,Z30.013
11600,DIB011309,bi-k0376,Acne vulgaris,706.1,L70.0
11601,DIB011311,eberconazole,Fungal infection,110-118,B35-B49
11602,DIB011312,cb-5083,Multiple myeloma,"203.0, 208.9","C90.0, C91-C95"
11603,DIB011313,ly-295501,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
11604,DIB011315,secnidazole,Amoebiasis,6,A06
11605,DIB011316,ade-hypt,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
11606,DIB011318,gr-233548,Thrombosis,"437.6, 453, 671.5, 671.9",I80-I82
11607,DIB011320,lp-205a1,Cancer,140-229,C00-C96
11608,DIB011321,canvaxin,Melanoma,172.9,C43
11609,DIB011322,ilatreotide,Duodenal ulcer,.,K25-K27
11610,DIB011323,kw-5139,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
11611,DIB011324,pa-342,Mycobacterium tuberculosis infection,.,A15-A19
11612,DIB011326,stem cell therapeutics,Neurodegenerative diseases,330-337,G30-G32
11613,DIB011327,nd-901,Plasmodium falciparum infection,.,B54
11614,DIB011328,a-75998,Hormone deficiency,.,E00-E90
11615,DIB011329,pxt-3003,Charcot marie tooth disease,.,G60.0
11616,DIB011332,angiozyme,Cancer,140-229,C00-C96
11617,DIB011333,hs-p1,Pancreatic cancer,"140-229, 157, 202.8, 203.0, 208.9","C00-C96, C25, C81-C96, C90.0, C91-C95"
11618,DIB011334,mbi-2401,Gram-negative bacterial infection,"001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
11619,DIB011335,spi-3608,Spinal disease,.,G95.9
11620,DIB011336,vinconate,Amnesia,.,F04
11621,DIB011337,propicillin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
11622,DIB011338,rec-1819,Overactive bladder disorder,"188, 596.51","C67, N32.81"
11623,DIB011339,rg-8803,Diabetic retinopathy,250.5,"H36, E10.3, E11.3, E13.3"
11624,DIB011340,dl-3,Prostate tumor,185,C61
11625,DIB011341,tace inhibitors,Autoimmune diseases,279,"D84.9, M35.9"
11626,DIB011342,cyt-017-il17qb,Multiple sclerosis,340,G35
11627,DIB011343,zp-2307,Osteoporosis,"733.0, V07.4","M80-M81, Z79.890"
11628,DIB011345,bst-1005,Cancer,140-229,C00-C96
11629,DIB011347,tt-111,Bleeding,"444, 453","I74, I80-I82"
11630,DIB011348,olsalazine,Ulcerative colitis,556,K51
11631,DIB011350,sodium phosphate p 32,Bone metastases,198.5,C79.51
11632,DIB011351,las-41001,Rosacea,.,L71
11633,DIB011352,diaspirin crosslinked hemoglobin,Cerebrovascular ischaemia,434.91,I61-I63
11634,DIB011353,cnto-736,Non-insulin dependent diabetes,.,E11.9
11635,DIB011354,nt-503,Age related macular degeneration,.,H35.30
11636,DIB011355,am-94,Rotavirus infections,001-139,A00-B99
11637,DIB011356,arry-770,Cancer,140-229,C00-C96
11638,DIB011357,ly-2523199,Diabetes mellitus type 2,250,E11
11639,DIB011359,btt-1023,Psoriasis,696,L40
11640,DIB011360,eml-336,Diabetes mellitus type 2,250,E11
11641,DIB011361,cmvpp65-a0201,Cytomegalovirus infection,"001-139, 078.5","A00-B99, B25"
11642,DIB011362,tb-010,Breast cancer,"174, 175, 217","C50, D24"
11643,DIB011363,jnj-42847922,Major depressive disorder,"296.2, 296.3, 710.0","F32, F33, M32"
11644,DIB011364,h5n1 vaccine,Influenza virus infections,"487, 488","J10, J11"
11645,DIB011365,gm-ct-02,Liver fibrosis,571,"K70.3, K71.7, K74"
11646,DIB011366,clp-635,Epilepsy,"290-319, 345","F01-F99, G40"
11647,DIB011367,cgs-25462,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
11648,DIB011368,pg-2,Fatigue,.,R53
11649,DIB011369,sgn-10,Cancer,140-229,C00-C96
11650,DIB011370,ngf-htnf,Multiple sclerosis,340,G35
11651,DIB011372,sdx-7400,Cancer,140-229,C00-C96
11652,DIB011374,scleron,Motor neurone disease,335.2,G12.2
11653,DIB011375,peitc,Prostate tumor,185,C61
11654,DIB011377,edp-21,Obesity,278,E66
11655,DIB011378,mar-99,Asthma,493,J45
11656,DIB011379,ap-15012,Cancer,140-229,C00-C96
11657,DIB011380,dmp-543,Parkinson's disease,332,"F02.3, G20"
11658,DIB011381,dg-1-66,Herpes simplex virus infection,54,B00
11659,DIB011384,rrv-tv rotavirus vaccine,Type 2 diabetes,"250.00, 250.02",E11
11660,DIB011385,bivatuzumab mertansine,Cancer,140-229,C00-C96
11661,DIB011386,int-777,Metabolic disorders,270-279,E70-E89
11662,DIB011387,nlx-e201,Epilepsy,"290-319, 345","F01-F99, G40"
11663,DIB011389,artemisinin trioxane dimers,Cancer,140-229,C00-C96
11664,DIB011390,tx-msd,Multiple sclerosis,340,G35
11665,DIB011392,zk-001,Thrombosis,"437.6, 453, 671.5, 671.9",I80-I82
11666,DIB011394,jkb-121,Fatty liver disease,.,"K70,K76.0"
11667,DIB011395,trecovirsen sodium,HIV-1 infections,"001-139, 042","A00-B99, B20"
11668,DIB011396,prednimustine,Cancer,140-229,C00-C96
11669,DIB011398,clr-1401,Cancer,140-229,C00-C96
11670,DIB011399,mrsaid,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
11671,DIB011400,nv.bc.04,Inflammatory bowel disease,"555, 556","K50, K51"
11672,DIB011401,anti-mir-199a oligonucleotides,Ischemic heart diseases,410-414,I20-I25
11673,DIB011402,bcx-4161,Hereditary angioedema,277.6,D84.1
11674,DIB011403,rdx-5791,Constipation,564,K59.0
11675,DIB011404,hepatitis b prophylactic vaccine,Hepatitis B virus infection,070.2-070.3,"B16, B18.0, B18.1"
11676,DIB011405,vapiprost,Cardiovascular disease,"325, 390-459, 401, 428, 430-459","G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95"
11677,DIB011406,the-320,Prostate hyperplasia,.,N40
11678,DIB011407,bbt-031,Growth disorder,.,E23.0
11679,DIB011408,il-2 mimetic peptides,Cancer,140-229,C00-C96
11680,DIB011410,fr-208419,Dyspepsia,536.8,K30
11681,DIB011411,nvx-144,Cancer,140-229,C00-C96
11682,DIB011412,anti-inflammatory/anti-proliferative agents,Dermatological disease,.,L00-L99
11683,DIB011413,cc-122,Solid tumours,"140-199, 210-229","C00-C75, C7A, C7B, D10-D36, D3A"
11684,DIB011414,6f4,Cancer,140-229,C00-C96
11685,DIB011416,org-2766,Cognitive impairment,331.83,G31.84
11686,DIB011417,mitumomab,Melanoma,172.9,C43
11687,DIB011419,ep-342,Cancer,140-229,C00-C96
11688,DIB011420,bgs-649,Endometriosis,617,N80
11689,DIB011421,sifuvirtide,HIV infections,"001-139, 042","A00-B99, B20"
11690,DIB011423,admva,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
11691,DIB011425,prednisolone,Multiple sclerosis,340,G35
11692,DIB011426,bild-1357,Herpes simplex virus infection,54,B00
11693,DIB011427,evatak,Cancer,140-229,C00-C96
11694,DIB011428,ngd-97-1,Alzheimer's disease,"331.0, 331.83","G30, G31.84"
11695,DIB011429,bpc-157,Inflammatory bowel disease,"555, 556","K50, K51"
11696,DIB011430,autologous adipose-derived stem cells,Anal fistula,.,K60.3
11697,DIB011431,ndx-peptide,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
11698,DIB011432,ce-224535,Arthralgia,.,M25.5
11699,DIB011435,ikt-051,Influenza virus infections,"487, 488","J10, J11"
